deliveryDate,OrderQuantity
2023-05-08,19
2022-06-29,18
2022-04-06,15
2023-01-31,12
2024-04-23,19
2022-10-18,18
2023-04-17,24
2024-12-26,18
2024-09-17,17
2024-10-21,20
2023-06-19,23
2024-11-15,28
2024-10-01,17
2023-11-14,14
2023-10-18,21
2022-08-22,18
2022-07-06,22
2024-07-24,17
2023-10-31,18
2022-08-30,16
2024-08-22,23
2024-05-16,20
2024-06-27,22
2024-12-20,19
2024-10-20,10
2022-10-21,14
2023-10-30,15
2023-02-10,15
2022-12-12,25
2023-06-06,18
2023-06-27,14
2023-10-30,16
2023-01-13,18
2022-09-20,24
2022-02-17,17
2022-05-12,21
2024-11-08,15
2024-08-28,17
2023-08-27,19
2024-05-01,18
2022-03-25,18
2023-07-24,18
2022-07-05,14
2023-06-20,25
2024-11-11,15
2022-04-07,26
2024-06-18,17
2023-07-27,16
2023-12-11,15
2023-11-20,14
2023-05-30,15
2022-02-04,15
2023-01-04,15
2022-03-22,20
2024-05-07,16
2024-05-13,18
2022-04-22,18
2022-11-08,23
2024-01-29,20
2022-12-30,19
2022-03-29,17
2024-04-05,20
2022-12-27,16
2023-02-21,17
2022-06-20,21
2022-03-14,17
2022-02-11,15
2024-04-03,20
2024-10-22,17
2024-05-02,18
2022-04-27,18
2022-10-19,17
2022-05-09,20
2024-08-12,20
2022-10-11,20
2024-02-07,14
2022-05-09,16
2024-05-02,16
2023-10-25,19
2022-02-02,16
2022-05-19,16
2023-10-18,15
2024-08-15,16
2023-12-12,21
2025-01-30,16
2024-10-22,19
2022-04-29,21
2022-04-28,16
2024-10-07,23
2023-08-23,21
2024-04-25,18
2024-09-02,15
2024-02-02,18
2024-05-28,19
2023-06-29,21
2022-07-15,21
2024-10-31,19
2022-06-06,20
2023-05-12,15
2024-04-26,22
2023-08-11,19
2023-04-07,14
2024-05-29,19
2023-07-17,17
2024-01-29,23
2022-07-21,14
2022-12-08,17
2023-06-06,16
2024-03-11,24
2024-03-07,18
2022-02-27,17
2023-05-22,23
2024-01-02,15
2023-05-08,14
2023-11-20,16
2024-11-13,16
2023-04-19,19
2023-01-05,16
2024-04-08,19
2022-10-03,12
2023-09-05,20
2024-09-16,16
2023-11-15,14
2022-06-02,19
2023-03-08,18
2023-12-15,18
2022-03-07,19
2023-02-09,12
2022-03-17,17
2023-01-04,24
2025-01-24,19
2023-08-10,19
2023-09-25,18
2023-05-26,19
2024-01-15,15
2023-05-01,18
2023-07-13,14
2024-10-30,23
2023-11-08,14
2023-11-23,20
2024-12-27,21
2022-02-10,16
2024-08-07,17
2023-12-20,13
2023-02-06,13
2023-03-23,19
2024-04-10,17
2024-10-15,14
2024-08-30,19
2023-09-07,17
2023-08-14,14
2024-05-23,19
2022-03-24,19
2024-12-06,23
2023-04-14,12
2023-08-25,14
2022-08-06,18
2022-07-21,16
2022-08-09,13
2022-03-10,20
2024-07-10,18
2024-07-09,19
2024-01-05,14
2022-07-26,14
2022-10-07,17
2023-06-23,23
2024-05-16,16
2023-12-19,17
2023-01-17,15
2023-10-13,16
2024-06-18,18
2024-02-16,19
2024-04-23,20
2022-04-19,22
2023-01-06,17
2023-12-13,16
2023-09-11,16
2024-06-27,17
2024-10-22,22
2023-03-01,16
2024-06-03,20
2022-03-24,18
2024-06-11,20
2022-03-10,14
2022-08-10,14
2023-12-28,12
2025-01-27,20
2023-12-12,19
2023-01-31,19
2022-09-27,16
2023-06-29,22
2024-05-10,11
2024-01-22,19
2023-05-19,16
2024-11-09,17
2024-07-15,23
2022-11-11,18
2022-04-26,18
2024-03-05,16
2023-02-10,12
2023-07-30,16
2024-03-05,17
2023-03-23,15
2022-04-05,19
2022-09-12,15
2023-07-17,21
2022-09-19,17
2022-08-25,17
2023-11-30,21
2022-03-02,22
2023-02-16,17
2023-06-08,18
2023-01-30,23
2022-07-12,17
2024-11-14,18
2024-12-31,17
2024-02-23,22
2024-12-02,15
2023-09-19,9
2022-07-04,15
2023-10-04,17
2023-02-09,20
2023-10-20,24
2023-01-13,25
2023-04-03,21
2024-12-05,16
2024-06-17,20
2022-01-08,16
2022-02-10,22
2023-01-11,20
2024-01-22,13
2023-12-08,20
2024-11-28,13
2022-06-29,16
2023-09-06,15
2022-08-18,17
2024-12-13,18
2023-10-05,18
2023-03-10,19
2025-01-02,13
2023-10-03,14
2022-03-10,22
2023-05-09,20
2024-11-06,22
2023-10-30,17
2024-08-01,20
2022-12-12,23
2023-02-01,15
2024-12-10,19
2023-03-31,17
2023-02-01,19
2022-11-08,13
2023-07-31,16
2023-08-21,17
2022-06-22,20
2023-05-24,21
2024-12-30,18
2022-05-03,16
2023-05-12,21
2024-01-18,20
2022-08-31,17
2024-07-08,19
2022-02-02,19
2023-11-09,23
2024-03-28,16
2022-05-17,14
2023-09-28,13
2022-05-05,16
2023-08-01,18
2022-04-11,23
2023-10-21,18
2024-01-16,16
2024-01-12,18
2024-09-16,21
2022-09-12,17
2023-02-28,15
2022-12-22,17
2024-02-16,14
2024-06-20,14
2022-11-17,16
2024-02-07,11
2022-08-11,23
2024-10-23,15
2023-10-04,15
2024-04-23,14
2023-11-29,20
2023-05-25,18
2024-08-23,15
2023-03-29,22
2024-05-27,19
2024-07-10,10
2023-11-29,17
2022-11-18,19
2022-02-28,18
2022-04-27,18
2023-10-30,20
2022-10-28,15
2022-11-29,20
2023-10-13,18
2023-08-01,20
2022-07-12,21
2023-02-28,16
2022-10-17,15
2024-12-31,20
2023-06-29,15
